0 000 --- --- --- --- 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
95 004 003 002 001 000 00000001 0000000E 0000000E 0000000E 0000000E 0000000D 0000000D 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
96 005 004 003 002 001 00000001 0000000E 0000000E 0000000E 0000000E 0000000E 0000000D 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
97 006 005 004 003 002 00000001 0000000E 0000000E 0000000E 0000000E 0000000E 0000000E 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
98 000 006 005 004 003 000000C8 0000000E 0000000E 0000000E 0000000E 0000000E 0000000E 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
99 001 000 006 005 004 00000001 0000000F 0000000E 0000000E 0000000E 0000000E 0000000E 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
100 002 001 000 006 005 00000001 0000000F 0000000F 0000000E 0000000E 0000000E 0000000E 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
101 003 002 001 000 006 00000001 0000000F 0000000F 0000000F 0000000E 0000000E 0000000E 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
102 004 003 002 001 000 00000001 0000000F 0000000F 0000000F 0000000F 0000000E 0000000E 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
103 005 004 003 002 001 00000001 0000000F 0000000F 0000000F 0000000F 0000000F 0000000E 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
104 006 005 004 003 002 00000001 0000000F 0000000F 0000000F 0000000F 0000000F 0000000F 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
105 000 006 005 004 003 000000C8 0000000F 0000000F 0000000F 0000000F 0000000F 0000000F 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
106 001 000 006 005 004 00000001 00000010 0000000F 0000000F 0000000F 0000000F 0000000F 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
107 002 001 000 006 005 00000001 00000010 00000010 0000000F 0000000F 0000000F 0000000F 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
108 003 002 001 000 006 00000001 00000010 00000010 00000010 0000000F 0000000F 0000000F 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
109 004 003 002 001 000 00000001 00000010 00000010 00000010 00000010 0000000F 0000000F 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
110 005 004 003 002 001 00000001 00000010 00000010 00000010 00000010 00000010 0000000F 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
111 006 005 004 003 002 00000001 00000010 00000010 00000010 00000010 00000010 00000010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
112 000 006 005 004 003 000000C8 00000010 00000010 00000010 00000010 00000010 00000010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
113 001 000 006 005 004 00000001 00000011 00000010 00000010 00000010 00000010 00000010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
114 002 001 000 006 005 00000001 00000011 00000011 00000010 00000010 00000010 00000010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
115 003 002 001 000 006 00000001 00000011 00000011 00000011 00000010 00000010 00000010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
